Date,Close,High,Low,Open,Volume,ticker
2025-10-14,3984.0,4152.0,3200.0,3360.0,6221,RPGL
2025-10-15,3280.0,3432.0,3216.0,3240.0,1964,RPGL
2025-10-16,1448.0,3331.199951171875,1128.0,3280.0,8791,RPGL
2025-10-17,1264.0,1360.0,1048.0,1128.0,1261,RPGL
2025-10-20,1208.0,1248.0,1136.0,1208.0,535,RPGL
2025-10-21,992.0,1200.0,960.0,1192.0,871,RPGL
2025-10-22,856.0,1056.0,816.0,976.0,1077,RPGL
2025-10-23,1040.0,1320.0,872.0,896.0,4894,RPGL
2025-10-24,880.0,1032.0,848.0,992.0,542,RPGL
2025-10-27,1056.0,1360.0,896.0,896.0,5613,RPGL
2025-10-28,1184.0,1264.0,1024.0,1104.0,1108,RPGL
2025-10-29,1048.0,1184.0,1008.0,1184.0,419,RPGL
2025-10-30,1080.0,1184.0,1016.0,1024.0,252,RPGL
2025-10-31,1176.0,1224.0,1048.0,1088.0,323,RPGL
2025-11-03,1048.0,1162.4000244140625,1040.0,1112.0,121,RPGL
2025-11-04,1120.0,1232.0,1072.0,1088.800048828125,323,RPGL
2025-11-05,1248.0,1360.0,1040.0,1104.0,372,RPGL
2025-11-06,1560.0,1584.0,1220.0,1280.0,431,RPGL
2025-11-07,1608.0,1856.0,1440.0,1624.0,770,RPGL
2025-11-10,1928.0,2140.0,1584.0,1584.0,772,RPGL
2025-11-11,1856.0,2144.0,1600.0,2080.0,613,RPGL
2025-11-12,2112.0,2152.0,1592.0,1856.0,2850,RPGL
2025-11-13,1192.0,2000.0,992.0,1936.0,2190,RPGL
2025-11-14,680.0,976.0,560.7999877929688,976.0,2195,RPGL
2025-11-17,424.0,680.0,362.3999938964844,656.0,5217,RPGL
2025-11-18,384.0,423.2000122070313,336.79998779296875,384.0,841,RPGL
2025-11-19,368.0,488.0,364.0,389.6000061035156,1282,RPGL
2025-11-20,372.0,399.2000122070313,344.0,352.0,407,RPGL
2025-11-21,393.6000061035156,415.2000122070313,336.0,336.0,367,RPGL
2025-11-24,369.6000061035156,395.2000122070313,352.79998779296875,393.6000061035156,369,RPGL
2025-11-25,371.2000122070313,384.0,344.0,364.7999877929687,172,RPGL
2025-11-26,341.6000061035156,360.0,300.0,360.0,668,RPGL
2025-11-28,324.0,341.6000061035156,320.79998779296875,340.0,104,RPGL
2025-12-01,342.3999938964844,405.6000061035156,321.6000061035156,394.3999938964844,43613,RPGL
2025-12-02,333.6000061035156,352.0,306.3999938964844,350.3999938964844,1214,RPGL
2025-12-03,392.7999877929687,403.2000122070313,316.0,319.20001220703125,1825,RPGL
2025-12-04,432.0,432.0,353.6000061035156,356.0,802,RPGL
2025-12-05,428.7999877929687,428.7999877929687,392.0,397.6000061035156,529,RPGL
2025-12-08,444.7999877929687,464.0,392.0,392.0,613,RPGL
2025-12-09,408.0,452.0,408.0,438.3999938964844,374,RPGL
2025-12-10,424.0,428.0,396.0,416.0,241,RPGL
2025-12-11,444.7999877929687,483.2000122070313,416.0,432.0,850,RPGL
2025-12-12,412.7999877929687,429.6000061035156,379.2000122070313,429.6000061035156,385,RPGL
2025-12-15,356.0,388.0,324.0,377.6000061035156,401,RPGL
2025-12-16,337.6000061035156,376.0,334.3999938964844,352.0,125,RPGL
2025-12-17,338.3999938964844,360.0,332.79998779296875,342.3999938964844,143,RPGL
2025-12-18,321.6000061035156,340.79998779296875,296.0,325.6000061035156,443,RPGL
2025-12-19,217.6000061035156,318.3999938964844,185.6000061035156,310.3999938964844,2927,RPGL
2025-12-22,244.0,255.1999969482422,200.8000030517578,216.0,901,RPGL
2025-12-23,222.3999938964844,246.3999938964844,216.0,236.8000030517578,316,RPGL
2025-12-24,212.0,229.6000061035156,210.3999938964844,222.3999938964844,75,RPGL
2025-12-26,210.3999938964844,236.8000030517578,208.0,211.1999969482422,25298,RPGL
2025-12-29,546.4000244140625,696.0,302.3999938964844,374.3999938964844,657964,RPGL
2025-12-30,467.2000122070313,484.7999877929687,383.2000122070313,464.7999877929687,12014,RPGL
2025-12-31,448.0,528.0,412.7999877929687,456.0,3523,RPGL
2026-01-02,532.7999877929688,536.0,424.0,424.0,2776,RPGL
2026-01-05,489.6000061035156,623.2000122070312,484.7999877929687,488.0,3099,RPGL
2026-01-06,392.0,504.0,392.0,476.0,1028,RPGL
2026-01-07,419.2000122070313,426.3999938964844,408.7999877929687,426.3999938964844,649,RPGL
2026-01-08,456.0,516.7999877929688,412.0,412.0,1027,RPGL
2026-01-09,441.6000061035156,455.2000122070313,415.2000122070313,447.2000122070313,366,RPGL
2026-01-12,388.7999877929687,429.6000061035156,361.6000061035156,428.7999877929687,1002,RPGL
2026-01-13,356.0,400.0,344.0,384.0,303,RPGL
2026-01-14,313.6000061035156,368.0,307.20001220703125,368.0,418,RPGL
2026-01-15,323.20001220703125,353.6000061035156,311.20001220703125,312.0,343,RPGL
2026-01-16,320.0,351.20001220703125,312.0,344.0,209,RPGL
2026-01-20,328.79998779296875,364.0,304.0,312.0,275,RPGL
2026-01-21,328.79998779296875,347.20001220703125,326.3999938964844,328.79998779296875,176,RPGL
2026-01-22,320.0,333.6000061035156,320.0,327.20001220703125,151,RPGL
2026-01-23,304.0,328.0,304.0,320.0,166,RPGL
2026-01-26,272.0,304.0,272.0,295.20001220703125,244,RPGL
2026-01-27,262.3999938964844,288.79998779296875,257.6000061035156,264.0,199,RPGL
2026-01-28,257.6000061035156,285.6000061035156,257.6000061035156,272.79998779296875,102,RPGL
2026-01-29,705.5999755859375,1112.0,272.0,272.0,159854,RPGL
2026-01-30,422.3999938964844,1480.0,392.0,1000.0,114800,RPGL
2026-02-02,672.0,824.0,480.7999877929687,617.5999755859375,62108,RPGL
2026-02-03,550.4000244140625,672.0,499.2000122070313,648.0,6705,RPGL
2026-02-04,504.0,532.7999877929688,440.0,525.5999755859375,2219,RPGL
2026-02-05,380.0,501.6000061035156,344.79998779296875,464.0,1495,RPGL
