ticker,date,title,url,domain,language,tone,source
META,2017-02-06,ITB Hospitality Day : A wealth of trends and innovations,http://www.forimmediaterelease.net/pm/18675.html,forimmediaterelease.net,English,0.0,gdelt_gkg
META,2017-02-06,ITB Berlin Convention 2017 : From clinical IT to lively travel worlds,http://www.eturbonews.com/77160/itb-berlin-convention-2017-clinical-it-lively-travel-worlds,eturbonews.com,English,0.0,gdelt_gkg
META,2017-02-06,ITB Hospitality Day : A wealth of trends and innovations,http://www.hospitalitynet.org/news/global/154000320/4080826.html,hospitalitynet.org,English,0.0,gdelt_gkg
META,2017-02-07,ITB Hospitality Day : A wealth of trends and innovations,http://www.incentivetravel.co.uk/shows/37708-itb-hospitality-day-a-wealth-of-trends-and-innovations,incentivetravel.co.uk,English,0.0,gdelt_gkg
META,2017-02-07,ITB Hospitality Day : A wealth of trends and innovations,https://www.traveldailynews.com/post/itb-hospitality-day-a-wealth-of-trends-and-innovations,traveldailynews.com,English,0.0,gdelt_gkg
META,2017-03-01,Online broker ActivTrades sees new Dubai office as a game changer,http://www.thenational.ae/business/markets/online-broker-activtrades-sees-new-dubai-office-as-a-game-changer,thenational.ae,English,0.0,gdelt_gkg
META,2017-03-02,Online broker ActivTrades sees new Dubai office as a game changer,http://www.gulfbase.com/news/online-broker-activtrades-sees-new-dubai-office-as-a-game-changer/295272,gulfbase.com,English,0.0,gdelt_gkg
META,2017-08-07,Logistics Innovators Like Amazon Focus On New Computing Environment Called Meta,https://www.forbes.com/sites/oliverwyman/2017/08/07/logistics-innovators-like-amazon-focus-on-new-computing-environment-called-meta-platforms-as-future/,forbes.com,English,0.0,gdelt_gkg
META,2017-08-07,Logistics Innovators Like Amazon Focus On New Computing Environment Called Meta,http://www.forbes.com/sites/oliverwyman/2017/08/07/logistics-innovators-like-amazon-focus-on-new-computing-environment-called-meta-platforms-as-future/,forbes.com,English,0.0,gdelt_gkg
META,2017-08-09,The Priceline Group ( PCLN ) Q2 2017 Results,https://seekingalpha.com/article/4096670-priceline-group-pcln-q2-2017-results-earnings-call-transcript,seekingalpha.com,English,0.0,gdelt_gkg
META,2017-08-24,The bipartisan Silicon Valley squeeze,http://www.aei.org/publication/the-bipartisan-silicon-valley-squeeze/,aei.org,English,0.0,gdelt_gkg
META,2017-08-30,Lower respiratory tract infections remain leading infectious cause of death worldwide,https://www.healio.com/infectious-disease/respiratory-infections/news/in-the-journals/%7B8004c42d-3841-416e-9b0b-11da1dfc2bed%7D/lower-respiratory-tract-infections-remain-leading-infectious-cause-of-death-worldwide,healio.com,English,0.0,gdelt_gkg
