date,weekly_return,sector
2010-01-10,-0.017135184617922267,AI / Chips
2010-01-17,-0.04635444618871301,AI / Chips
2010-01-24,-0.058471352599775095,AI / Chips
2010-01-31,-0.0336988001236479,AI / Chips
2010-02-07,0.0003036989743461227,AI / Chips
2010-02-14,0.050560711903226974,AI / Chips
2010-02-21,0.003947423784130183,AI / Chips
2010-02-28,-0.016255365450253106,AI / Chips
2010-03-07,0.04928254887994099,AI / Chips
2010-03-14,0.02139688687289648,AI / Chips
2010-03-21,0.008873239431423097,AI / Chips
2010-03-28,0.008810515986561657,AI / Chips
2010-04-04,0.015369086287621653,AI / Chips
2010-04-11,-0.002395474014284582,AI / Chips
2010-04-18,0.03612698151788696,AI / Chips
2010-04-25,-0.006443448727096512,AI / Chips
2010-05-02,-0.04920204471707265,AI / Chips
2010-05-09,-0.07990563817632457,AI / Chips
2010-05-16,0.004590120342151588,AI / Chips
2010-05-23,-0.028073221098295797,AI / Chips
2010-05-30,0.020233568476530572,AI / Chips
2010-06-06,-0.04093845944625743,AI / Chips
2010-06-13,-0.007235255378605698,AI / Chips
2010-06-20,0.05592157037936024,AI / Chips
2010-06-27,-0.06767830392433316,AI / Chips
2010-07-04,-0.06183477345690239,AI / Chips
2010-07-11,0.041325368491011094,AI / Chips
2010-07-18,-0.0014336540207974258,AI / Chips
2010-07-25,0.044788094238073894,AI / Chips
2010-08-01,-0.06014389090978392,AI / Chips
2010-08-08,0.00792003629709348,AI / Chips
2010-08-15,-0.061919137343441705,AI / Chips
2010-08-22,0.002920240503364896,AI / Chips
2010-08-29,-0.010166274207236231,AI / Chips
2010-09-05,0.0006016410183929399,AI / Chips
2010-09-12,-0.02089196342849098,AI / Chips
2010-09-19,0.04847669704101093,AI / Chips
2010-09-26,0.07691801955045882,AI / Chips
2010-10-03,-0.005479403134817429,AI / Chips
2010-10-10,-0.005102446916166237,AI / Chips
2010-10-17,0.009600454929829333,AI / Chips
2010-10-24,0.016503871754421223,AI / Chips
2010-10-31,0.03122760141233094,AI / Chips
2010-11-07,0.05803817879200859,AI / Chips
2010-11-14,0.0006497773457282974,AI / Chips
2010-11-21,0.0005008122443614371,AI / Chips
2010-11-28,0.0011351788035253996,AI / Chips
2010-12-05,0.05063866094093569,AI / Chips
2010-12-12,0.02144001083943156,AI / Chips
2010-12-19,-0.0012962307564250986,AI / Chips
2010-12-26,-0.00860362457749167,AI / Chips
