ticker,signal,horizon,corr,pval,n,significant
AAPL,norm_sentiment,1,0.009,0.6805,2087,False
AAPL,norm_sentiment,2,-0.0317,0.1474,2087,False
AAPL,norm_sentiment,3,0.0481,0.0279,2087,True
AAPL,norm_sentiment,5,-0.0062,0.7776,2085,False
AAPL,norm_sentiment,7,0.0026,0.9058,2085,False
AAPL,sent_roll_3d,1,0.0102,0.5638,3199,False
AAPL,sent_roll_3d,2,0.012,0.4963,3199,False
AAPL,sent_roll_3d,3,0.0565,0.0014,3198,True
AAPL,sent_roll_3d,5,-0.0229,0.195,3195,False
AAPL,sent_roll_3d,7,0.0146,0.4109,3194,False
AAPL,sent_roll_5d,1,0.0226,0.1464,4137,False
AAPL,sent_roll_5d,2,0.0125,0.42,4136,False
AAPL,sent_roll_5d,3,0.0271,0.0812,4135,False
AAPL,sent_roll_5d,5,-0.0221,0.1546,4131,False
AAPL,sent_roll_5d,7,0.0054,0.7273,4129,False
AAPL,sent_roll_7d,1,0.0247,0.1094,4189,False
AAPL,sent_roll_7d,2,0.0066,0.6712,4188,False
AAPL,sent_roll_7d,3,0.0131,0.3976,4187,False
AAPL,sent_roll_7d,5,-0.0278,0.0722,4182,False
AAPL,sent_roll_7d,7,0.0045,0.7715,4180,False
AAPL,sent_momentum,1,0.0017,0.9265,2918,False
AAPL,sent_momentum,2,0.0033,0.8573,2918,False
AAPL,sent_momentum,3,0.0363,0.0502,2917,False
AAPL,sent_momentum,5,-0.0093,0.6155,2914,False
AAPL,sent_momentum,7,0.0242,0.1914,2913,False
AAPL,volume_surge,1,0.0408,0.0083,4189,True
AAPL,volume_surge,2,0.0256,0.0979,4188,False
AAPL,volume_surge,3,-0.0163,0.2903,4187,False
AAPL,volume_surge,5,-0.0084,0.587,4182,False
AAPL,volume_surge,7,0.0043,0.7804,4180,False
AMD,norm_sentiment,1,-0.0253,0.4369,945,False
AMD,norm_sentiment,2,0.0178,0.5845,945,False
AMD,norm_sentiment,3,0.0242,0.4577,945,False
AMD,norm_sentiment,5,-0.059,0.07,943,False
AMD,norm_sentiment,7,-0.0023,0.9443,943,False
AMD,sent_roll_3d,1,-0.016,0.4719,2027,False
AMD,sent_roll_3d,2,0.0095,0.6688,2027,False
AMD,sent_roll_3d,3,-0.0212,0.3407,2026,False
AMD,sent_roll_3d,5,-0.0364,0.1022,2023,False
AMD,sent_roll_3d,7,0.0323,0.1459,2023,False
AMD,sent_roll_5d,1,-0.0136,0.4603,2960,False
AMD,sent_roll_5d,2,-0.0095,0.605,2959,False
AMD,sent_roll_5d,3,-0.0351,0.0565,2958,False
AMD,sent_roll_5d,5,-0.0099,0.5896,2955,False
AMD,sent_roll_5d,7,0.0296,0.108,2955,False
AMD,sent_roll_7d,1,-0.0178,0.2911,3533,False
AMD,sent_roll_7d,2,-0.032,0.0576,3532,False
AMD,sent_roll_7d,3,-0.0195,0.2465,3531,False
AMD,sent_roll_7d,5,-0.0145,0.3881,3528,False
AMD,sent_roll_7d,7,0.0303,0.0718,3528,False
AMD,sent_momentum,1,-0.0136,0.6205,1319,False
AMD,sent_momentum,2,-0.022,0.4252,1319,False
AMD,sent_momentum,3,-0.0137,0.618,1319,False
AMD,sent_momentum,5,-0.0117,0.671,1319,False
AMD,sent_momentum,7,0.0421,0.1267,1319,False
AMD,volume_surge,1,-0.0009,0.9531,4189,False
AMD,volume_surge,2,-0.0125,0.4168,4188,False
AMD,volume_surge,3,-0.0316,0.0411,4187,True
AMD,volume_surge,5,0.015,0.3322,4182,False
AMD,volume_surge,7,0.0269,0.0823,4180,False
AMZN,norm_sentiment,1,0.0047,0.8332,2053,False
AMZN,norm_sentiment,2,0.0182,0.4108,2053,False
AMZN,norm_sentiment,3,0.0227,0.3044,2053,False
AMZN,norm_sentiment,5,-0.007,0.7531,2051,False
AMZN,norm_sentiment,7,0.0431,0.0509,2051,False
AMZN,sent_roll_3d,1,0.0192,0.2798,3173,False
AMZN,sent_roll_3d,2,0.0211,0.2349,3173,False
AMZN,sent_roll_3d,3,0.0195,0.2717,3172,False
AMZN,sent_roll_3d,5,0.0182,0.3048,3169,False
AMZN,sent_roll_3d,7,0.0438,0.0136,3168,True
AMZN,sent_roll_5d,1,0.0159,0.307,4113,False
AMZN,sent_roll_5d,2,0.024,0.1235,4112,False
AMZN,sent_roll_5d,3,0.0152,0.3297,4111,False
AMZN,sent_roll_5d,5,0.0459,0.0033,4107,True
AMZN,sent_roll_5d,7,0.0326,0.0366,4105,True
AMZN,sent_roll_7d,1,0.0166,0.2834,4189,False
AMZN,sent_roll_7d,2,0.0338,0.0289,4188,True
AMZN,sent_roll_7d,3,0.0251,0.1044,4187,False
AMZN,sent_roll_7d,5,0.0513,0.0009,4182,True
AMZN,sent_roll_7d,7,0.0141,0.3606,4180,False
AMZN,sent_momentum,1,-0.006,0.7485,2880,False
AMZN,sent_momentum,2,-0.0117,0.5287,2880,False
AMZN,sent_momentum,3,-0.0047,0.8013,2879,False
AMZN,sent_momentum,5,0.0229,0.2205,2876,False
AMZN,sent_momentum,7,0.0169,0.3642,2875,False
AMZN,volume_surge,1,0.0128,0.4092,4189,False
AMZN,volume_surge,2,0.0059,0.7015,4188,False
AMZN,volume_surge,3,-0.0069,0.6541,4187,False
AMZN,volume_surge,5,0.0023,0.883,4182,False
AMZN,volume_surge,7,0.0067,0.6659,4180,False
COIN,norm_sentiment,1,0.0355,0.3392,726,False
COIN,norm_sentiment,2,-0.0278,0.2305,1868,False
COIN,norm_sentiment,3,0.091,0.0001,1868,True
COIN,norm_sentiment,5,-0.0458,0.0477,1866,True
COIN,norm_sentiment,7,-0.0338,0.1446,1866,False
COIN,sent_roll_3d,1,0.0226,0.4208,1266,False
COIN,sent_roll_3d,2,-0.0056,0.7595,3044,False
COIN,sent_roll_3d,3,0.0929,0.0,3043,True
COIN,sent_roll_3d,5,-0.0351,0.0527,3040,False
COIN,sent_roll_3d,7,-0.0694,0.0001,3039,True
COIN,sent_roll_5d,1,0.0204,0.3916,1759,False
COIN,sent_roll_5d,2,-0.0153,0.3319,4016,False
COIN,sent_roll_5d,3,0.095,0.0,4015,True
COIN,sent_roll_5d,5,-0.0422,0.0075,4011,True
COIN,sent_roll_5d,7,-0.0628,0.0001,4009,True
COIN,sent_roll_7d,1,0.0195,0.3972,1890,False
COIN,sent_roll_7d,2,-0.01,0.5181,4180,False
COIN,sent_roll_7d,3,0.1124,0.0,4179,True
COIN,sent_roll_7d,5,-0.0446,0.004,4174,True
COIN,sent_roll_7d,7,-0.0752,0.0,4172,True
COIN,sent_momentum,1,-0.0466,0.1264,1075,False
COIN,sent_momentum,2,0.0122,0.5269,2676,False
COIN,sent_momentum,3,0.0247,0.2011,2675,False
COIN,sent_momentum,5,-0.0267,0.1676,2673,False
COIN,sent_momentum,7,0.0033,0.8645,2672,False
COIN,volume_surge,1,0.0209,0.3629,1898,False
COIN,volume_surge,2,-0.0057,0.7108,4188,False
COIN,volume_surge,3,-0.0091,0.5548,4187,False
COIN,volume_surge,5,-0.001,0.9493,4182,False
COIN,volume_surge,7,0.0244,0.1141,4180,False
CRM,norm_sentiment,1,-0.072,0.0254,964,True
CRM,norm_sentiment,2,-0.0219,0.4978,964,False
CRM,norm_sentiment,3,-0.01,0.7576,964,False
CRM,norm_sentiment,5,-0.024,0.457,964,False
CRM,norm_sentiment,7,0.0245,0.4482,964,False
CRM,sent_roll_3d,1,-0.0504,0.0226,2050,True
CRM,sent_roll_3d,2,-0.038,0.0856,2050,False
CRM,sent_roll_3d,3,-0.0164,0.4592,2050,False
CRM,sent_roll_3d,5,0.0131,0.5541,2050,False
CRM,sent_roll_3d,7,0.0186,0.399,2049,False
CRM,sent_roll_5d,1,-0.0513,0.0052,2963,True
CRM,sent_roll_5d,2,-0.0558,0.0024,2963,True
CRM,sent_roll_5d,3,0.0002,0.9909,2963,False
CRM,sent_roll_5d,5,-0.0098,0.5922,2962,False
CRM,sent_roll_5d,7,0.0373,0.0426,2960,True
CRM,sent_roll_7d,1,-0.0376,0.0256,3526,True
CRM,sent_roll_7d,2,-0.0418,0.0131,3526,True
CRM,sent_roll_7d,3,0.0075,0.6567,3526,False
CRM,sent_roll_7d,5,-0.0005,0.9774,3523,False
CRM,sent_roll_7d,7,0.0218,0.1967,3521,False
CRM,sent_momentum,1,-0.0338,0.2151,1348,False
CRM,sent_momentum,2,-0.0127,0.641,1348,False
CRM,sent_momentum,3,-0.0618,0.0232,1348,True
CRM,sent_momentum,5,0.0266,0.3293,1348,False
CRM,sent_momentum,7,0.0243,0.3728,1348,False
CRM,volume_surge,1,-0.0288,0.0621,4189,False
CRM,volume_surge,2,-0.0041,0.7928,4188,False
CRM,volume_surge,3,-0.0099,0.5202,4187,False
CRM,volume_surge,5,0.0133,0.3891,4182,False
CRM,volume_surge,7,-0.02,0.195,4180,False
CRWD,norm_sentiment,1,0.188,0.1692,55,False
CRWD,norm_sentiment,2,-0.0395,0.7512,67,False
CRWD,norm_sentiment,3,0.1273,0.3044,67,False
CRWD,norm_sentiment,5,0.2046,0.0968,67,False
CRWD,norm_sentiment,7,-0.0681,0.5841,67,False
CRWD,sent_roll_3d,1,0.0126,0.8832,138,False
CRWD,sent_roll_3d,2,0.0206,0.7873,174,False
CRWD,sent_roll_3d,3,0.012,0.8755,174,False
CRWD,sent_roll_3d,5,0.1259,0.098,174,False
CRWD,sent_roll_3d,7,-0.0959,0.2083,174,False
CRWD,sent_roll_5d,1,-0.0181,0.791,218,False
CRWD,sent_roll_5d,2,0.0299,0.62,278,False
CRWD,sent_roll_5d,3,0.0315,0.6005,278,False
CRWD,sent_roll_5d,5,0.0853,0.156,278,False
CRWD,sent_roll_5d,7,-0.0989,0.1,278,False
CRWD,sent_roll_7d,1,0.0211,0.7203,291,False
CRWD,sent_roll_7d,2,0.0477,0.3572,375,False
CRWD,sent_roll_7d,3,0.0313,0.5457,375,False
CRWD,sent_roll_7d,5,0.0366,0.4798,375,False
CRWD,sent_roll_7d,7,-0.0473,0.3605,375,False
CRWD,sent_momentum,1,-0.0764,0.6676,34,False
CRWD,sent_momentum,2,0.0286,0.8705,35,False
CRWD,sent_momentum,3,-0.1567,0.3685,35,False
CRWD,sent_momentum,5,0.1591,0.3612,35,False
CRWD,sent_momentum,7,0.1493,0.3918,35,False
CRWD,volume_surge,1,-0.04,0.0427,2570,True
