Date,Close,High,Low,Open,Volume,ticker
2022-09-07,21.51625061035156,21.51625061035156,21.51625061035156,21.51625061035156,100,MSFU
2022-09-08,21.51374053955078,21.51374053955078,21.51374053955078,21.51374053955078,100,MSFU
2022-09-09,22.332111358642575,22.409096360669,22.275210927270255,22.29278333055233,800,MSFU
2022-09-12,22.539634704589844,22.63502683813823,22.46767084584331,22.54298160099011,3100,MSFU
2022-09-13,20.76900100708008,21.739671365474113,20.76900100708008,21.739671365474113,3700,MSFU
2022-09-14,20.76900100708008,20.81084120979394,20.569847068699932,20.626747509934027,3900,MSFU
2022-09-15,19.928865432739254,20.62172245959682,19.774897027210883,20.467754054068447,6100,MSFU
2022-09-16,19.837656021118164,19.837656021118164,19.56402610183484,19.672809009498103,4400,MSFU
2022-09-19,19.763185501098633,19.76485974759503,19.455248636921674,19.46361667732263,5500,MSFU
2022-09-20,19.51041030883789,19.594110373969393,19.19235197707333,19.460190908337378,5500,MSFU
2022-09-21,19.146318435668945,20.0879406538166,19.146318435668945,19.753141962208876,28700,MSFU
2022-09-22,19.339662551879883,19.58573871306452,19.125390784643088,19.18314380921176,6700,MSFU
2022-09-23,18.99147605895996,19.250944868883444,18.757116155400738,19.217464198469457,8700,MSFU
2022-09-26,18.921161651611328,19.351378211230973,18.89102873996232,18.89102873996232,19400,MSFU
2022-09-27,18.7470703125,19.376491503117723,18.60645375128518,19.209092963599527,8800,MSFU
2022-09-28,19.34468460083008,19.40997125743989,18.99984269967691,18.99984269967691,15000,MSFU
2022-09-29,18.899404525756836,19.133764413369033,18.539495325527657,19.050064339475668,14700,MSFU
2022-09-30,18.38883399963379,19.20323378380345,18.34698476435157,18.94962237322387,17200,MSFU
2022-10-03,19.23419952392578,19.34301007798415,18.602267200694406,18.69852170839477,18700,MSFU
2022-10-04,20.18168067932129,20.347406124393544,19.984149243996026,19.987496990899633,24200,MSFU
2022-10-05,20.229393005371097,20.415206551664024,19.69455165648923,19.953183895536473,9300,MSFU
2022-10-06,19.9498348236084,20.389259792172783,19.895431135065763,20.2637088888995,33800,MSFU
2022-10-07,18.44826316833496,18.653326672544143,18.39720562850142,18.568790061112544,11000,MSFU
2022-10-10,17.839763641357422,18.413944603663605,17.65729944189842,18.321874369782567,8700,MSFU
2022-10-11,17.381927490234375,17.769456788945718,17.325849129502608,17.445539479920885,7300,MSFU
2022-10-12,17.434654235839844,17.53509461739087,17.283994461736153,17.476503463559443,11100,MSFU
2022-10-13,18.4315185546875,18.55623130023654,16.698097759270915,16.739946988163023,26000,MSFU
2022-10-14,17.77782440185547,18.54786206580533,17.752713905392838,18.54786206580533,15000,MSFU
2022-10-17,18.726980209350582,18.874290652782076,18.54786217900481,18.598081575790733,16800,MSFU
2022-10-18,18.83913803100586,19.468560787349652,18.51438420968334,19.468560787349652,12600,MSFU
2022-10-19,18.6298885345459,18.983102194983356,18.42231384631512,18.698522937662407,8600,MSFU
2022-10-20,18.608964920043945,19.04252932357609,18.506014906270604,18.936231562522178,7800,MSFU
2022-10-21,19.287769317626953,19.30534618704311,18.422313642180143,18.422313642180143,9300,MSFU
2022-10-24,19.92053604125977,19.945646536164897,19.276049303151996,19.518777701452024,10000,MSFU
2022-10-25,20.31476593017578,20.33066972535214,19.83684108031064,19.94565005118347,26300,MSFU
2022-10-26,17.961965560913086,18.69852425398821,17.83641625536161,18.012186560290505,65100,MSFU
2022-10-27,17.426284790039062,17.995443250605824,17.350954899879003,17.995443250605824,22200,MSFU
