ticker,signal,horizon,corr,pval,n,significant
AAPL,norm_sentiment,1,0.0082,0.7084,2087,False
AAPL,norm_sentiment,2,-0.0254,0.2465,2087,False
AAPL,norm_sentiment,3,0.0565,0.0098,2087,True
AAPL,norm_sentiment,5,-0.0153,0.4842,2085,False
AAPL,norm_sentiment,7,0.0078,0.7203,2085,False
AAPL,sent_roll_3d,1,0.016,0.3648,3199,False
AAPL,sent_roll_3d,2,0.017,0.3359,3199,False
AAPL,sent_roll_3d,3,0.0548,0.0019,3198,True
AAPL,sent_roll_3d,5,-0.0178,0.314,3195,False
AAPL,sent_roll_3d,7,0.0188,0.288,3194,False
AAPL,sent_roll_5d,1,0.0225,0.1488,4137,False
AAPL,sent_roll_5d,2,0.0187,0.2288,4136,False
AAPL,sent_roll_5d,3,0.0232,0.1354,4135,False
AAPL,sent_roll_5d,5,-0.0184,0.2379,4131,False
AAPL,sent_roll_5d,7,0.0089,0.5685,4129,False
AAPL,sent_roll_7d,1,0.0206,0.1836,4189,False
AAPL,sent_roll_7d,2,0.0081,0.6025,4188,False
AAPL,sent_roll_7d,3,0.0105,0.4973,4187,False
AAPL,sent_roll_7d,5,-0.0231,0.1345,4182,False
AAPL,sent_roll_7d,7,0.0073,0.6381,4180,False
AAPL,sent_momentum,1,0.0019,0.9168,2918,False
AAPL,sent_momentum,2,0.0053,0.7752,2918,False
AAPL,sent_momentum,3,0.0355,0.0553,2917,False
AAPL,sent_momentum,5,-0.0076,0.6818,2914,False
AAPL,sent_momentum,7,0.0304,0.1012,2913,False
AAPL,volume_surge,1,0.0408,0.0083,4189,True
AAPL,volume_surge,2,0.0256,0.0979,4188,False
AAPL,volume_surge,3,-0.0163,0.2903,4187,False
AAPL,volume_surge,5,-0.0084,0.587,4182,False
AAPL,volume_surge,7,0.0043,0.7804,4180,False
AMD,norm_sentiment,1,-0.0418,0.1993,945,False
AMD,norm_sentiment,2,0.0188,0.5647,945,False
AMD,norm_sentiment,3,0.0262,0.4213,945,False
AMD,norm_sentiment,5,-0.0509,0.1184,943,False
AMD,norm_sentiment,7,-0.0062,0.8492,943,False
AMD,sent_roll_3d,1,-0.0235,0.2911,2027,False
AMD,sent_roll_3d,2,0.0011,0.9604,2027,False
AMD,sent_roll_3d,3,-0.0312,0.1605,2026,False
AMD,sent_roll_3d,5,-0.033,0.1377,2023,False
AMD,sent_roll_3d,7,0.0232,0.2966,2023,False
AMD,sent_roll_5d,1,-0.0214,0.2449,2960,False
AMD,sent_roll_5d,2,-0.0187,0.309,2959,False
AMD,sent_roll_5d,3,-0.0442,0.0161,2958,True
AMD,sent_roll_5d,5,-0.007,0.7041,2955,False
AMD,sent_roll_5d,7,0.0261,0.1562,2955,False
AMD,sent_roll_7d,1,-0.0297,0.0775,3533,False
AMD,sent_roll_7d,2,-0.0378,0.0247,3532,True
AMD,sent_roll_7d,3,-0.0275,0.1029,3531,False
AMD,sent_roll_7d,5,-0.0103,0.541,3528,False
AMD,sent_roll_7d,7,0.0272,0.1059,3528,False
AMD,sent_momentum,1,-0.0169,0.5397,1319,False
AMD,sent_momentum,2,-0.0189,0.4922,1319,False
AMD,sent_momentum,3,-0.0209,0.4478,1319,False
AMD,sent_momentum,5,-0.008,0.7726,1319,False
AMD,sent_momentum,7,0.0321,0.2435,1319,False
AMD,volume_surge,1,-0.0009,0.9531,4189,False
AMD,volume_surge,2,-0.0125,0.4168,4188,False
AMD,volume_surge,3,-0.0316,0.0411,4187,True
AMD,volume_surge,5,0.015,0.3322,4182,False
AMD,volume_surge,7,0.0269,0.0823,4180,False
AMZN,norm_sentiment,1,0.0098,0.6564,2053,False
AMZN,norm_sentiment,2,0.0216,0.3278,2053,False
AMZN,norm_sentiment,3,0.0202,0.3606,2053,False
AMZN,norm_sentiment,5,-0.0011,0.9614,2051,False
AMZN,norm_sentiment,7,0.0463,0.0362,2051,True
AMZN,sent_roll_3d,1,0.0286,0.1068,3173,False
AMZN,sent_roll_3d,2,0.0258,0.1465,3173,False
AMZN,sent_roll_3d,3,0.0127,0.4744,3172,False
AMZN,sent_roll_3d,5,0.0291,0.1018,3169,False
AMZN,sent_roll_3d,7,0.0341,0.0551,3168,False
AMZN,sent_roll_5d,1,0.0211,0.1753,4113,False
AMZN,sent_roll_5d,2,0.0255,0.102,4112,False
AMZN,sent_roll_5d,3,0.0117,0.454,4111,False
AMZN,sent_roll_5d,5,0.0502,0.0013,4107,True
AMZN,sent_roll_5d,7,0.0251,0.1083,4105,False
AMZN,sent_roll_7d,1,0.0187,0.225,4189,False
AMZN,sent_roll_7d,2,0.0364,0.0184,4188,True
AMZN,sent_roll_7d,3,0.0252,0.1036,4187,False
AMZN,sent_roll_7d,5,0.0495,0.0014,4182,True
AMZN,sent_roll_7d,7,0.0132,0.3922,4180,False
AMZN,sent_momentum,1,0.0001,0.9936,2880,False
AMZN,sent_momentum,2,0.003,0.8712,2880,False
AMZN,sent_momentum,3,-0.008,0.6674,2879,False
AMZN,sent_momentum,5,0.0188,0.3125,2876,False
AMZN,sent_momentum,7,0.0137,0.4636,2875,False
AMZN,volume_surge,1,0.0128,0.4092,4189,False
AMZN,volume_surge,2,0.0059,0.7015,4188,False
AMZN,volume_surge,3,-0.0069,0.6541,4187,False
AMZN,volume_surge,5,0.0023,0.883,4182,False
AMZN,volume_surge,7,0.0067,0.6659,4180,False
COIN,norm_sentiment,1,0.013,0.7265,726,False
COIN,norm_sentiment,2,-0.019,0.4126,1868,False
COIN,norm_sentiment,3,0.0807,0.0005,1868,True
COIN,norm_sentiment,5,-0.0265,0.2529,1866,False
COIN,norm_sentiment,7,-0.017,0.4642,1866,False
COIN,sent_roll_3d,1,0.0074,0.7917,1266,False
COIN,sent_roll_3d,2,0.0065,0.7202,3044,False
COIN,sent_roll_3d,3,0.0818,0.0,3043,True
COIN,sent_roll_3d,5,-0.0192,0.2908,3040,False
COIN,sent_roll_3d,7,-0.0498,0.0061,3039,True
COIN,sent_roll_5d,1,0.0119,0.6177,1759,False
COIN,sent_roll_5d,2,-0.0072,0.6469,4016,False
COIN,sent_roll_5d,3,0.0851,0.0,4015,True
COIN,sent_roll_5d,5,-0.0226,0.1517,4011,False
COIN,sent_roll_5d,7,-0.046,0.0036,4009,True
COIN,sent_roll_7d,1,0.0185,0.4221,1890,False
COIN,sent_roll_7d,2,0.0029,0.8537,4180,False
COIN,sent_roll_7d,3,0.1006,0.0,4179,True
COIN,sent_roll_7d,5,-0.0255,0.0995,4174,False
COIN,sent_roll_7d,7,-0.0573,0.0002,4172,True
COIN,sent_momentum,1,-0.07,0.0217,1075,True
COIN,sent_momentum,2,0.0127,0.5112,2676,False
COIN,sent_momentum,3,0.0291,0.1322,2675,False
COIN,sent_momentum,5,-0.0215,0.2673,2673,False
COIN,sent_momentum,7,0.0077,0.692,2672,False
COIN,volume_surge,1,0.0209,0.3629,1898,False
COIN,volume_surge,2,-0.0057,0.7108,4188,False
COIN,volume_surge,3,-0.0091,0.5548,4187,False
COIN,volume_surge,5,-0.001,0.9493,4182,False
COIN,volume_surge,7,0.0244,0.1141,4180,False
CRM,norm_sentiment,1,-0.075,0.0198,964,True
CRM,norm_sentiment,2,-0.0053,0.8692,964,False
CRM,norm_sentiment,3,-0.013,0.686,964,False
CRM,norm_sentiment,5,-0.035,0.2772,964,False
CRM,norm_sentiment,7,0.0315,0.3292,964,False
CRM,sent_roll_3d,1,-0.0507,0.0218,2050,True
CRM,sent_roll_3d,2,-0.0332,0.1326,2050,False
CRM,sent_roll_3d,3,-0.0163,0.4597,2050,False
CRM,sent_roll_3d,5,0.0009,0.9689,2050,False
CRM,sent_roll_3d,7,0.0337,0.1272,2049,False
CRM,sent_roll_5d,1,-0.0556,0.0024,2963,True
CRM,sent_roll_5d,2,-0.0624,0.0007,2963,True
CRM,sent_roll_5d,3,-0.0006,0.9726,2963,False
