ticker,signal,horizon,corr,pval,n,significant
PANW,sent_momentum,2,0.2961,0.0015,113,True
NVO,sent_momentum,3,-0.2779,0.003,112,True
CRWD,norm_sentiment,5,0.2363,0.0542,67,False
PLTR,sent_momentum,1,0.189,0.044,114,True
PM,norm_sentiment,3,-0.181,0.022,160,True
MDB,sent_momentum,2,-0.1231,0.0134,403,True
QCOM,norm_sentiment,5,0.1213,0.0507,260,False
DDOG,sent_momentum,3,0.1008,0.1169,243,False
COIN,sent_roll_7d,3,0.1006,0.0,4179,True
TSM,sent_momentum,3,0.0976,0.0728,339,False
CRM,norm_sentiment,1,-0.075,0.0198,964,True
PYPL,norm_sentiment,7,0.0745,0.1805,325,False
GOOGL,sent_roll_5d,1,0.067,0.0,4144,True
NVDA,norm_sentiment,2,0.0597,0.0264,1382,True
MSFT,norm_sentiment,2,0.0582,0.0076,2102,True
AAPL,norm_sentiment,3,0.0565,0.0098,2087,True
AMD,norm_sentiment,5,-0.0509,0.1184,943,False
NFLX,norm_sentiment,7,0.0507,0.1327,881,False
AMZN,sent_roll_5d,5,0.0502,0.0013,4107,True
INTC,norm_sentiment,1,0.0424,0.0696,1833,False
OKTA,sent_roll_7d,3,-0.0392,0.0114,4169,True
NOW,sent_roll_5d,1,0.0365,0.0198,4085,True
META,sent_roll_5d,7,0.0363,0.0195,4129,True
TSLA,sent_roll_3d,3,-0.0287,0.1196,2949,False
