ticker,date,title,url,domain,language,tone,source
NOW,2019-12-07,Lessons from the Unicorn Class of 2019,https://www.sfchronicle.com/business/networth/article/Lessons-from-the-Unicorn-Class-of-2019-14888712.php,sfchronicle.com,English,0.0,gdelt_gkg
NOW,2019-12-07,Packt Free eBook,https://hup.hu/index.php/node/140276,hup.hu,English,0.0,gdelt_gkg
NOW,2019-12-08,"Marijuana Stocks , Lululemon , Broadcom , Adobe Lead The Week | Investor Business Daily",https://www.investors.com/research/investing-action-plan/marijuana-stocks-lululemon-broadcom-adobe-lead-week/,investors.com,English,0.0,gdelt_gkg
NOW,2019-12-08,"Adobe Stock , ServiceNow Stock , Okta , Trade Desk , Dynatrace Near Buy Points",https://www.investors.com/news/adobe-stock-servicenow-stock-okta-trade-desk-dynatrace-buy-points/,investors.com,English,0.0,gdelt_gkg
NOW,2019-12-08,Another Hedge Fund Bites The Dust : $350 Million in Sales Coming,https://finance.yahoo.com/news/another-hedge-fund-bites-dust-160238374.html,finance.yahoo.com,English,0.0,gdelt_gkg
NOW,2019-12-08,Another Hedge Fund Bites The Dust : $350 Million in Sales Coming,https://news.yahoo.com/another-hedge-fund-bites-dust-160238374.html,news.yahoo.com,English,0.0,gdelt_gkg
NOW,2019-12-08,Another Hedge Fund Bites The Dust : $350 Million in Sales Coming,https://www.insidermonkey.com/blog/another-hedge-fund-bites-the-dust-350-million-in-sales-coming-799686/,insidermonkey.com,English,0.0,gdelt_gkg
NOW,2019-12-08,"dpcworld . com Ebook Service PC dan Laptop - Toko Ebook Service Laptop , Panduan Service Komputer",https://www.coolsocial.net/sites/www/dpcworld.com.html,coolsocial.net,English,0.0,gdelt_gkg
NOW,2019-12-09,Peloton Punished For Patriarchal Ad : Buy It And These Other Potential Bounces,https://seekingalpha.com/article/4311504-peloton-punished-for-patriarchal-ad-buy-and-potential-bounces,seekingalpha.com,English,0.0,gdelt_gkg
NOW,2019-12-09,Medallia : Great Value Amidst Hot Market,https://seekingalpha.com/article/4311474-medallia-great-value-amidst-hot-market,seekingalpha.com,English,0.0,gdelt_gkg
NOW,2019-12-09,Accenture Ranked No . 1 in HFS Top 10 for ServiceNow Services 2019 Report,http://next-generation-communications.tmcnet.com/news/2019/12/09/9066105.htm,next-generation-communications.tmcnet.com,English,0.0,gdelt_gkg
NOW,2019-12-09,Everbridge Smart Orchestration Cockpit Allows IT Organizations to Build and Customize Automated Operational Workflows to Improve Efficiency and Accelerate Incident Resolution Time,http://www.oleantimesherald.com/business/everbridge-smart-orchestration-cockpit-allows-it-organizations-to-build-and/article_96277aea-8774-5569-9384-a574afd31ac7.html,oleantimesherald.com,English,0.0,gdelt_gkg
NOW,2019-12-09,Project Portfolio Management Market Worth $5 . 6 Billion by 2024 - Exclusive Report by MarketsandMarkets,https://www.finanznachrichten.de/nachrichten-2019-12/48376764-project-portfolio-management-market-worth-dollar-5-6-billion-by-2024-exclusive-report-by-marketsandmarkets-008.htm,finanznachrichten.de,English,0.0,gdelt_gkg
NOW,2019-12-09,Everbridge Smart Orchestration Cockpit Allows IT Organizations to Build and Customize Automated Operational Workflows to Improve Efficiency and Accelerate Incident Resolution Time |,http://www.consumerelectronicsnet.com/everbridge-smart-orchestration-cockpit-allows-it-organizations-to-build-and-customize-automated-operational-workflows-to-improve-efficiency-and-accelerate-incident-resolution-time/,consumerelectronicsnet.com,English,0.0,gdelt_gkg
NOW,2019-12-09,Everbridge Smart Orchestration Cockpit Allows IT Organizations to Build and Customize Automated Operational Workflows to Improve Efficiency and Accelerate Incident Resolution Time,https://www.tmcnet.com/usubmit/2019/12/09/9066350.htm,tmcnet.com,English,0.0,gdelt_gkg
NOW,2019-12-09,Global Robotic Process Automation Market to Rise at a CAGR of 29 . 67 % from 2020 - 2026,https://www.sandiegosun.com/news/263336596/global-robotic-process-automation-market-to-rise-at-a-cagr-of-2967-from-2020-2026--oganalysis,sandiegosun.com,English,0.0,gdelt_gkg
NOW,2019-12-09,Global Robotic Process Automation Market to Rise at a CAGR of 29 . 67 % from 2020 - 2026,https://www.texasguardian.com/news/263336596/global-robotic-process-automation-market-to-rise-at-a-cagr-of-2967-from-2020-2026--oganalysis,texasguardian.com,English,0.0,gdelt_gkg
NOW,2019-12-09,Global Robotic Process Automation Market to Rise at a CAGR of 29 . 67 % from 2020 - 2026,https://www.newyorktelegraph.com/news/263336596/global-robotic-process-automation-market-to-rise-at-a-cagr-of-2967-from-2020-2026--oganalysis,newyorktelegraph.com,English,0.0,gdelt_gkg
NOW,2019-12-09,Las mejores herramientas SAST y DAST,https://cioperu.pe/articulo/29365/las-mejores-herramientas-sast-y-dast/,cioperu.pe,Spanish,0.0,gdelt_gkg
NOW,2019-12-09,Review of 2019 : ICT industry alive and kicking,https://www.itweb.co.za/content/RgeVDMPokOw7KJN3,itweb.co.za,English,0.0,gdelt_gkg
NOW,2019-12-09,Project Portfolio Management Market Worth $5 . 6 Billion by 2024 - Exclusive Report by MarketsandMarkets™,https://www.prnewswire.com:443/news-releases/project-portfolio-management-market-worth-5-6-billion-by-2024--exclusive-report-by-marketsandmarkets-300971230.html,prnewswire.com,English,0.0,gdelt_gkg
NOW,2019-12-10,"Risk Management Market by Component , Deployment Model , Organization Size , and Industry Vertical : Global Opportunity Analysis and Industry Forecast , 2019 - 2026",https://www.prnewswire.com:443/news-releases/risk-management-market-by-component-deployment-model-organization-size-and-industry-vertical--global-opportunity-analysis-and-industry-forecast-2019-2026-300972305.html,prnewswire.com,English,0.0,gdelt_gkg
NOW,2019-12-10,"OrbitaASSIST AI - Powered Bedside Virtual Assistant : Interview with Nick White , Orbita Executive VP of Patient Care |",https://www.medgadget.com/2019/12/orbitaassist-ai-powered-bedside-virtual-assistant-interview-with-nick-white-orbita-executive-vp-of-patient-care.html,medgadget.com,English,0.0,gdelt_gkg
NOW,2019-12-10,"Im A Netflix Bull ( At The Right Price ), MongoDB And Stitch Fix And Analyze CEO Interviews",https://seekingalpha.com/article/4311740-netflix-bull-right-price-mongodb-and-stitch-fix-and-analyze-ceo-interviews,seekingalpha.com,English,0.0,gdelt_gkg
NOW,2019-12-10,Media Release : AIIA announces new Board and State Council Chair appointments to represent Australia ICT industry,https://www.cmo.com.au/mediareleases/36844/aiia-announces-new-board-and-state-council-chair/,cmo.com.au,English,0.0,gdelt_gkg
