ticker,year,article_count
AAPL,2017,1500
AAPL,2018,2000
AAPL,2019,1250
AAPL,2020,1000
AAPL,2021,1250
AAPL,2022,1500
AAPL,2023,1750
AAPL,2024,1750
AAPL,2025,1000
AAPL,2026,750
MSFT,2017,1500
MSFT,2018,2000
MSFT,2019,1750
MSFT,2020,1250
MSFT,2021,1750
MSFT,2022,2000
MSFT,2023,1000
MSFT,2024,1250
MSFT,2025,2000
MSFT,2026,750
GOOGL,2017,1750
GOOGL,2018,2000
GOOGL,2019,1000
GOOGL,2020,1250
GOOGL,2021,750
GOOGL,2022,1000
GOOGL,2023,1750
GOOGL,2024,2000
GOOGL,2025,1250
GOOGL,2026,500
META,2017,12
META,2018,6
META,2019,10
META,2020,14
META,2021,256
META,2022,1250
META,2023,1750
META,2024,1500
META,2025,1250
META,2026,1000
AMZN,2017,1750
AMZN,2018,1500
AMZN,2019,1250
AMZN,2020,1750
AMZN,2021,1750
AMZN,2022,1000
AMZN,2023,1250
AMZN,2024,1250
AMZN,2025,1750
AMZN,2026,750
NVDA,2017,2000
NVDA,2018,1250
NVDA,2019,1500
NVDA,2020,1500
NVDA,2021,1250
NVDA,2022,2250
NVDA,2023,1250
NVDA,2024,1500
NVDA,2025,1000
NVDA,2026,750
INTC,2017,1000
INTC,2018,750
INTC,2019,2000
INTC,2020,1500
INTC,2021,1250
INTC,2022,1500
INTC,2023,433
INTC,2024,928
INTC,2025,451
INTC,2026,222
AMD,2017,1250
AMD,2018,1000
AMD,2019,1500
AMD,2020,2000
AMD,2021,1000
AMD,2022,1250
AMD,2023,1500
AMD,2024,1250
AMD,2025,1250
AMD,2026,250
QCOM,2017,1000
QCOM,2018,1500
QCOM,2019,1250
QCOM,2020,1500
QCOM,2021,1250
QCOM,2022,1500
QCOM,2023,1250
QCOM,2024,2000
QCOM,2025,1250
QCOM,2026,750
TSLA,2017,2000
TSLA,2018,750
TSLA,2019,1250
TSLA,2020,1500
TSLA,2021,750
TSLA,2022,1500
TSLA,2023,1000
TSLA,2024,1000
TSLA,2025,1750
TSLA,2026,500
COIN,2017,1638
COIN,2018,1500
COIN,2019,1500
COIN,2020,750
COIN,2021,1500
COIN,2022,1250
COIN,2023,1250
COIN,2024,1250
COIN,2025,1250
COIN,2026,500
PYPL,2017,1500
PYPL,2018,1250
PYPL,2019,500
PYPL,2020,750
PYPL,2021,1250
PYPL,2022,1250
PYPL,2023,1000
PYPL,2024,1500
PYPL,2025,1250
PYPL,2026,1000
NFLX,2017,1500
NFLX,2018,1750
NFLX,2019,1250
NFLX,2020,1250
NFLX,2021,1000
NFLX,2022,1750
NFLX,2023,1000
NFLX,2024,1500
NFLX,2025,1000
NFLX,2026,250
CRM,2017,1500
CRM,2018,1000
CRM,2019,1250
CRM,2020,1500
CRM,2021,1250
CRM,2022,1500
CRM,2023,1250
CRM,2024,1250
CRM,2025,1500
CRM,2026,500
CRWD,2017,856
CRWD,2018,1606
CRWD,2019,1651
CRWD,2020,1209
CRWD,2021,1250
CRWD,2022,1250
CRWD,2023,1093
CRWD,2024,690
CRWD,2025,1481
CRWD,2026,1000
PANW,2017,750
PANW,2018,1250
PANW,2019,1750
PANW,2020,750
PANW,2021,1000
PANW,2022,1426
PANW,2023,1131
PANW,2024,1455
PANW,2025,1931
PANW,2026,925
PLTR,2017,500
PLTR,2018,892
PLTR,2019,1000
PLTR,2020,500
PLTR,2021,1500
PLTR,2022,477
PLTR,2023,250
PLTR,2024,750
PLTR,2025,1750
PLTR,2026,250
DDOG,2017,70
DDOG,2018,127
DDOG,2019,222
DDOG,2020,986
DDOG,2021,1750
DDOG,2022,1371
DDOG,2023,477
DDOG,2024,67
DDOG,2025,397
DDOG,2026,485
SNOW,2017,3
SNOW,2018,7
SNOW,2019,16
SNOW,2020,336
SNOW,2021,196
SNOW,2022,159
SNOW,2023,189
SNOW,2024,237
SNOW,2025,161
SNOW,2026,123
MDB,2017,1250
MDB,2018,1059
MDB,2019,1100
MDB,2020,1104
MDB,2021,557
MDB,2022,608
MDB,2023,710
MDB,2024,599
MDB,2025,600
MDB,2026,228
NOW,2017,1000
NOW,2018,1000
NOW,2019,1000
NOW,2020,1000
NOW,2021,1000
NOW,2022,1700
NOW,2023,944
NOW,2024,943
NOW,2025,1174
NOW,2026,500
OKTA,2017,63
OKTA,2018,207
OKTA,2019,228
OKTA,2020,97
OKTA,2021,251
OKTA,2022,455
OKTA,2023,121
OKTA,2024,54
OKTA,2025,77
OKTA,2026,38
NVO,2017,750
NVO,2018,1000
NVO,2020,500
NVO,2021,500
NVO,2022,250
NVO,2023,1000
NVO,2024,500
NVO,2025,500
NVO,2026,750
INCY,2017,150
INCY,2018,223
INCY,2019,133
INCY,2020,227
INCY,2021,86
INCY,2022,130
INCY,2024,47
INCY,2025,39
INCY,2026,27
KGC,2017,500
KGC,2018,496
KGC,2020,572
KGC,2021,436
KGC,2022,343
KGC,2023,73
KGC,2024,69
KGC,2025,74
KGC,2026,126
PM,2018,750
PM,2019,250
PM,2020,500
PM,2021,250
PM,2022,1000
PM,2023,250
PM,2024,930
PM,2025,120
PM,2026,500
WPM,2017,244
WPM,2019,451
WPM,2020,135
WPM,2021,143
WPM,2022,123
WPM,2023,89
WPM,2024,124
WPM,2025,315
WPM,2026,50
