form,date,accession,document,size_bytes,ticker,cik
8-K,2026-06-16,0001628280-26-043590,ddog-20260615.htm,172110,DDOG,0001561550
10-Q,2026-05-07,0001628280-26-032328,ddog-20260331.htm,7647227,DDOG,0001561550
8-K,2026-05-07,0001628280-26-031677,ddog-20260507.htm,520678,DDOG,0001561550
8-K,2026-04-22,0001193125-26-168261,d81305d8k.htm,534835,DDOG,0001561550
8-K,2026-03-02,0001628280-26-013236,ddog-20260226.htm,147795,DDOG,0001561550
10-K,2026-02-18,0001628280-26-008819,ddog-20251231.htm,11197023,DDOG,0001561550
8-K,2026-02-10,0001628280-26-006645,ddog-20260210.htm,589891,DDOG,0001561550
10-Q,2025-11-07,0001561550-25-000313,ddog-20250930.htm,8238542,DDOG,0001561550
8-K,2025-11-06,0001561550-25-000310,ddog-20251106.htm,572184,DDOG,0001561550
8-K,2025-09-11,0001561550-25-000272,ddog-20250911.htm,148296,DDOG,0001561550
10-Q,2025-08-08,0001561550-25-000220,ddog-20250630.htm,8244587,DDOG,0001561550
8-K,2025-08-07,0001561550-25-000216,ddog-20250807.htm,576877,DDOG,0001561550
8-K,2025-06-05,0001561550-25-000162,ddog-20250603.htm,274447,DDOG,0001561550
10-Q,2025-05-07,0001561550-25-000123,ddog-20250331.htm,7288127,DDOG,0001561550
8-K,2025-05-06,0001561550-25-000118,ddog-20250506.htm,477417,DDOG,0001561550
10-K,2025-02-20,0001561550-25-000025,ddog-20241231.htm,11231421,DDOG,0001561550
8-K,2025-02-13,0001561550-25-000017,ddog-20250213.htm,590615,DDOG,0001561550
8-K,2024-12-23,0001561550-24-000240,ddog-20241222.htm,154884,DDOG,0001561550
8-K,2024-12-12,0001193125-24-277122,d853741d8k.htm,1340465,DDOG,0001561550
10-Q,2024-11-08,0001561550-24-000175,ddog-20240930.htm,7847925,DDOG,0001561550
8-K,2024-11-07,0001561550-24-000171,ddog-20241107.htm,573395,DDOG,0001561550
10-Q,2024-08-09,0001561550-24-000112,ddog-20240630.htm,7797132,DDOG,0001561550
8-K,2024-08-08,0001561550-24-000109,ddog-20240808.htm,579789,DDOG,0001561550
8-K,2024-06-06,0001561550-24-000071,ddog-20240605.htm,170380,DDOG,0001561550
10-Q,2024-05-08,0001561550-24-000051,ddog-20240331.htm,7002165,DDOG,0001561550
8-K,2024-05-07,0001561550-24-000048,ddog-20240507.htm,478789,DDOG,0001561550
10-K,2024-02-23,0001561550-24-000009,ddog-20231231.htm,10767177,DDOG,0001561550
8-K,2024-02-13,0001561550-24-000004,ddog-20240213.htm,592900,DDOG,0001561550
8-K,2023-11-07,0001561550-23-000053,ddog-20231107.htm,540908,DDOG,0001561550
10-Q,2023-11-07,0001561550-23-000055,ddog-20230930.htm,7840581,DDOG,0001561550
10-Q,2023-08-09,0001561550-23-000039,ddog-20230630.htm,8153293,DDOG,0001561550
8-K,2023-08-08,0001561550-23-000035,ddog-20230808.htm,544550,DDOG,0001561550
8-K,2023-06-09,0001561550-23-000031,ddog-20230608.htm,193546,DDOG,0001561550
10-Q,2023-05-05,0001561550-23-000023,ddog-20230331.htm,7303156,DDOG,0001561550
8-K,2023-05-04,0001561550-23-000020,ddog-20230504.htm,468912,DDOG,0001561550
10-K,2023-02-24,0001561550-23-000006,ddog-20221231.htm,11431668,DDOG,0001561550
8-K,2023-02-16,0001561550-23-000003,ddog-20230216.htm,567096,DDOG,0001561550
10-Q,2022-11-04,0001561550-22-000045,ddog-20220930.htm,8210392,DDOG,0001561550
8-K,2022-11-03,0001561550-22-000043,ddog-20221103.htm,562626,DDOG,0001561550
