form,date,accession,document,size_bytes,ticker,cik,edgar_url
8-K,2026-06-18,0001679788-26-000075,coin-20260616.htm,167519,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978826000075/0001679788-26-000075-index.htm
10-Q,2026-05-07,0001679788-26-000054,coin-20260331.htm,9873741,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978826000054/0001679788-26-000054-index.htm
8-K,2026-05-07,0001679788-26-000053,coin-20260507.htm,7118660,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978826000053/0001679788-26-000053-index.htm
8-K,2026-05-05,0001679788-26-000049,coin-20260505.htm,141197,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978826000049/0001679788-26-000049-index.htm
8-K,2026-04-10,0001679788-26-000035,coin-20260407.htm,151698,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978826000035/0001679788-26-000035-index.htm
10-K,2026-02-12,0001679788-26-000015,coin-20251231.htm,25030540,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978826000015/0001679788-26-000015-index.htm
8-K,2026-02-12,0001679788-26-000011,coin-20260212.htm,8660663,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978826000011/0001679788-26-000011-index.htm
8-K,2025-12-16,0001679788-25-000247,coin-20251215.htm,3222153,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000247/0001679788-25-000247-index.htm
10-Q,2025-10-30,0001679788-25-000208,coin-20250930.htm,11673764,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000208/0001679788-25-000208-index.htm
8-K,2025-10-30,0001679788-25-000207,coin-20251030.htm,7987867,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000207/0001679788-25-000207-index.htm
8-K,2025-08-15,0001679788-25-000182,coin-20250815.htm,184480,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000182/0001679788-25-000182-index.htm
8-K,2025-08-08,0001679788-25-000171,coin-20250808.htm,3053018,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000171/0001679788-25-000171-index.htm
8-K,2025-08-06,0001679788-25-000167,coin-20250805.htm,176932,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000167/0001679788-25-000167-index.htm
8-K,2025-08-05,0001679788-25-000163,coin-20250805.htm,165815,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000163/0001679788-25-000163-index.htm
10-Q,2025-07-31,0001679788-25-000154,coin-20250630.htm,10324830,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000154/0001679788-25-000154-index.htm
8-K,2025-07-31,0001679788-25-000153,coin-20250731.htm,7524400,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000153/0001679788-25-000153-index.htm
8-K,2025-06-25,0001679788-25-000138,coin-20250618.htm,174365,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000138/0001679788-25-000138-index.htm
8-K,2025-05-15,0001679788-25-000094,coin-20250514.htm,180233,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000094/0001679788-25-000094-index.htm
10-Q,2025-05-08,0001679788-25-000089,coin-20250331.htm,9253041,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000089/0001679788-25-000089-index.htm
8-K,2025-05-08,0001679788-25-000088,coin-20250508.htm,5449955,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000088/0001679788-25-000088-index.htm
8-K,2025-05-08,0001679788-25-000086,coin-20250508.htm,1458950,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000086/0001679788-25-000086-index.htm
8-K,2025-02-21,0001193125-25-031346,d857645d8k.htm,142810,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000119312525031346/0001193125-25-031346-index.htm
10-K,2025-02-13,0001679788-25-000022,coin-20241231.htm,20193810,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000022/0001679788-25-000022-index.htm
8-K,2025-02-13,0001679788-25-000021,coin-20250213.htm,6268160,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000021/0001679788-25-000021-index.htm
10-Q,2024-10-30,0001679788-24-000187,coin-20240930.htm,12643134,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978824000187/0001679788-24-000187-index.htm
8-K,2024-10-30,0001679788-24-000186,coin-20241030.htm,5774447,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978824000186/0001679788-24-000186-index.htm
10-Q,2024-08-01,0001679788-24-000149,coin-20240630.htm,12953370,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978824000149/0001679788-24-000149-index.htm
8-K,2024-08-01,0001679788-24-000148,coin-20240801.htm,3775033,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978824000148/0001679788-24-000148-index.htm
8-K,2024-07-25,0001679788-24-000133,coin-20240724.htm,133151,COIN,0001679788,https://www.sec.gov/Archives/edgar/data/1679788/000167978824000133/0001679788-24-000133-index.htm
