form,date,accession,document,size_bytes,ticker,cik,edgar_url
10-Q,2026-06-03,0001327567-26-000015,panw-20260430.htm,11110220,PANW,1327567,
8-K,2026-06-02,0001327567-26-000012,panw-20260602.htm,392049,PANW,1327567,
8-K,2026-04-13,0001193125-26-151637,d49517d8k.htm,318429,PANW,1327567,
8-K,2026-03-23,0001193125-26-119729,d84927d8k.htm,132592,PANW,1327567,
8-K,2026-03-11,0001327567-26-000009,panw-20260310.htm,139897,PANW,1327567,
10-Q,2026-02-18,0001327567-26-000005,panw-20260131.htm,11053603,PANW,1327567,
8-K,2026-02-17,0001327567-26-000003,panw-20260217.htm,354842,PANW,1327567,
8-K,2026-02-11,0001193125-26-045600,d40626d8k.htm,1391024,PANW,1327567,
8-K,2026-01-29,0001193125-26-029489,d884183d8k.htm,187089,PANW,1327567,
8-K,2025-12-11,0001193125-25-315915,d15273d8k.htm,284112,PANW,1327567,
8-K,2025-11-21,0001193125-25-291350,d882056d8k.htm,137963,PANW,1327567,
10-Q,2025-11-20,0001327567-25-000035,panw-20251031.htm,8600419,PANW,1327567,
8-K,2025-11-19,0001327567-25-000032,panw-20251119.htm,382233,PANW,1327567,
8-K,2025-11-19,0001193125-25-288132,d851220d8k.htm,156215,PANW,1327567,
8-K,2025-09-25,0001193125-25-217462,d40588d8k.htm,147812,PANW,1327567,
10-K,2025-08-29,0001327567-25-000027,panw-20250731.htm,16370737,PANW,1327567,
8-K,2025-08-18,0001327567-25-000024,panw-20250813.htm,804313,PANW,1327567,
8-K,2025-07-31,0001193125-25-169870,d804159d8k.htm,957949,PANW,1327567,
8-K,2025-07-30,0001193125-25-168821,d67702d8k.htm,2588282,PANW,1327567,
10-Q,2025-05-21,0001327567-25-000017,panw-20250430.htm,9898739,PANW,1327567,
8-K,2025-05-20,0001327567-25-000015,panw-20250520.htm,352580,PANW,1327567,
10-Q,2025-02-14,0001327567-25-000010,panw-20250131.htm,11854357,PANW,1327567,
8-K,2025-02-13,0001327567-25-000006,panw-20250213.htm,364357,PANW,1327567,
8-K,2025-02-13,0001327567-25-000004,panw-20250212.htm,168925,PANW,1327567,
8-K,2024-12-17,0001193125-24-280058,d903511d8k.htm,141024,PANW,1327567,
8-K,2024-12-12,0001193125-24-277082,d817166d8k.htm,308111,PANW,1327567,
10-Q,2024-11-21,0001327567-24-000040,panw-20241031.htm,9463771,PANW,1327567,
8-K,2024-11-20,0001327567-24-000036,panw-20241120.htm,324100,PANW,1327567,
8-K,2024-11-15,0001193125-24-259308,d816913d8k.htm,147396,PANW,1327567,
10-K,2024-09-06,0001327567-24-000029,panw-20240731.htm,16178810,PANW,1327567,
8-K,2024-09-04,0001327567-24-000026,panw-20240831.htm,172732,PANW,1327567,
8-K,2024-08-19,0001327567-24-000023,panw-20240819.htm,372408,PANW,1327567,
10-Q,2024-05-21,0001327567-24-000017,panw-20240430.htm,9589348,PANW,1327567,
8-K,2024-05-20,0001327567-24-000015,panw-20240520.htm,369433,PANW,1327567,
8-K,2024-05-16,0001327567-24-000010,panw-20240515.htm,182071,PANW,1327567,
10-Q,2024-02-21,0001327567-24-000005,panw-20240131.htm,9872482,PANW,1327567,
8-K,2024-02-20,0001327567-24-000003,panw-20240220.htm,371066,PANW,1327567,
8-K,2023-12-14,0001193125-23-295527,d596427d8k.htm,354753,PANW,1327567,
8-K,2023-11-29,0001193125-23-285277,d199345d8k.htm,4456172,PANW,1327567,
10-Q,2023-11-17,0001327567-23-000032,panw-20231031.htm,8560299,PANW,1327567,
8-K,2023-11-17,0001327567-23-000035,panw-20231116.htm,148930,PANW,1327567,
8-K,2023-11-15,0001327567-23-000030,panw-20231115.htm,317028,PANW,1327567,
8-K,2023-11-15,0001193125-23-277318,d513622d8k.htm,144150,PANW,1327567,
