date,S&P_500_SPY,Buy_&_Hold,Sector_Rotation,Position_Trader,Opt_Stop_Global,Opt_Stop_Per_Sector
2015-01-02,9994.645272682614,9972.99798261111,,10000.0,,
2015-01-04,,,10000.0,,,
2015-01-05,9814.147462791252,9853.138697162649,,10000.0,,
2015-01-06,9721.712358751993,9710.172876081058,,10000.0,,
2015-01-07,9842.853402790804,9810.858672072769,,9990.0,,
2015-01-08,10017.513858884513,10013.601727790081,,10281.296236272292,,
2015-01-09,9937.240582649698,9940.533372133901,,10205.841044789397,,
2015-01-11,,,9851.746001977259,,,
2015-01-12,9859.394818748595,9799.839346354784,,10130.383810369654,,
2015-01-13,9831.663119167311,9816.388108344372,,10172.499634459498,,
2015-01-14,9772.309049552081,9731.722966466066,,10046.15420512681,,
2015-01-15,9682.789476801441,9597.21256815345,,9670.629725569574,,
2015-01-16,9809.767874637908,9725.527062223635,,9939.112486066006,,
2015-01-18,,,9824.618967201111,,,
2015-01-20,9830.687980003268,9768.26805493202,,10053.173055155818,,
2015-01-21,9880.318519097045,9809.180779416909,,10126.874725844622,,
2015-01-22,10027.24727560947,9940.065389311876,,10177.762920757566,,
2015-01-23,9972.268300418718,9956.29540204732,,10286.56088452826,,
2015-01-25,,,10079.258424207717,,,
2015-01-26,9995.624006829752,10029.016917857716,,10490.115707116885,,
2015-01-27,9863.773508156166,9935.996783661174,,10140.913787860538,,
2015-01-28,9737.27593930842,9815.867466740341,,9888.223610174113,,
2015-01-29,9827.285328505515,9888.498698190762,,10195.310386319563,,
2015-01-30,9703.707784675256,9765.033999379442,,9905.771075736107,10000.0,10000.0
2015-02-01,,,10175.837291082407,,,
2015-02-02,9823.877284533119,9855.309238744494,,10051.418172403828,,
2015-02-03,9965.945623903477,9988.59828083686,,10284.806001776271,,
2015-02-04,9927.9933873881,9930.864921537368,,10351.488141457117,,
2015-02-05,10028.219718536193,10061.708416976388,,10398.865889887134,,
2015-02-06,10000.48532271759,9987.525644759502,,10165.661453791325,,
2015-02-08,,,10165.661453791325,,,
2015-02-09,9955.728681952476,9966.393731878385,,10861.942732263456,,
2015-02-10,10061.78877191513,10064.176275024045,,10583.43037731717,,
2015-02-11,10067.627923204333,10104.31034683928,,10861.942732263456,,
2015-02-12,10164.448007871577,10196.413758188975,,10722.683817045396,,
2015-02-13,10206.285522364977,10254.908025367726,,10444.17537316328,,
2015-02-15,,,10155.495792337533,,,
2015-02-17,10222.34251435095,10278.379244019545,,10722.683817045398,,
2015-02-18,10223.31675476922,10335.113475852131,,10722.683817045398,,
2015-02-19,10216.014445361068,10362.428355008527,,10861.942732263458,,
2015-02-20,10277.319692050156,10511.216095617441,,11001.196954204517,,
2015-02-22,,,10406.85113362448,,,
2015-02-23,10275.860128914299,10489.884850302686,,10861.942732263458,,
2015-02-24,10305.047796648347,10486.377964110374,,10444.17537316328,,
2015-02-25,10296.294012816297,10459.484384263167,,10165.661453791326,,
2015-02-26,10284.132185011853,10541.833650524031,,10722.683817045396,,
2015-02-27,10249.100872259738,10464.62616373066,,11279.708526937968,10000.0,10000.0
2015-03-01,,,10328.001494625096,,,
2015-03-02,10313.807871700808,10539.821426568746,,10861.942732263456,,
2015-03-03,10271.478743269408,10479.850730701604,,11279.708526937966,,
2015-03-04,10228.180766894378,10403.60316677273,,11975.98589434593,,
2015-03-05,10239.368354280554,10407.357882100841,,11001.196954204515,,
2015-03-06,10095.36052153139,10294.762987627388,,11836.73167240487,,
2015-03-08,,,10286.09390363993,,,
2015-03-09,10137.203428499428,10311.252717627336,,11140.454304996909,,
2015-03-10,9972.753623136306,10178.682682078752,,10286.09390363993,,
2015-03-11,9949.401511708367,10167.986423685543,,10286.09390363993,,
2015-03-12,10075.898181810338,10268.663962870523,,10275.80780973629,,
2015-03-13,10014.110308640982,10247.06409533306,,10147.272902343993,,
2015-03-15,,,10138.347698933349,,,
2015-03-16,10147.902996930692,10285.254251737648,,10524.811159538465,,
2015-03-17,10117.738392541056,10314.753657615749,,10472.644172649758,,
2015-03-18,10239.36835428055,10338.53416946166,,10794.250323296586,,
2015-03-19,10192.664131424672,10390.66327439111,,10522.12156854385,,
2015-03-20,10282.63127957042,10477.655997888556,,10652.807533264795,,
2015-03-22,,,9900.546713838554,,,
2015-03-23,10262.597337537545,10531.476601762119,,10736.167928754103,,
2015-03-24,10204.93021373882,10473.532418155351,,10848.568367513939,,
2015-03-25,10055.389702009155,10257.369864490262,,10449.517998365387,,
2015-03-26,10031.445317116604,10238.891575130192,,10240.313055812203,,
2015-03-27,10054.410967862019,10286.048946889365,,9949.361010766199,,
2015-03-29,,,9585.784049374644,,,
2015-03-30,10177.074487240821,10371.81290273605,,10248.918054460595,,
2015-03-31,10088.131010530875,10332.985938085178,,10152.113550667253,9387.153460966663,10000.0
2015-04-01,10052.457993296615,10292.279915871271,,10088.651974135535,,
2015-04-02,10088.619928231556,10312.263245883149,,10272.042690077347,,
2015-04-05,,,9456.717413145894,,,
2015-04-06,10156.548931269945,10379.791118725852,,10922.785230688882,,
2015-04-07,10129.671040173307,10377.105649928839,,10930.852465005113,,
2015-04-08,10163.87910179707,10465.308207871223,,11168.56199449809,,
2015-04-09,10208.839757852726,10435.733676593754,,11298.709425553063,,
2015-04-10,10264.553008340272,10475.504432100794,,11342.272183127187,,
2015-04-12,,,9447.260695732748,,,
2015-04-13,10218.125599182573,10445.191766978643,,9437.813435037015,,
2015-04-14,10237.673319752086,10405.676579776582,,9351.843505266394,,
2015-04-15,10283.611811209104,10487.349288119558,,9530.66195328477,,
2015-04-16,10280.67650751347,10517.560744015635,,9635.545239991166,,
2015-04-17,10162.415044932346,10388.839563064295,,9592.560275105856,,
2015-04-19,,,9362.449883268197,,,
2015-04-20,10255.26626826465,10469.20495463603,,9609.753984922345,,
2015-04-21,10243.04871822226,10518.221996641314,,9620.071177293961,,
2015-04-22,10293.382975256542,10579.189962200908,,9604.596424252668,,
2015-04-23,10319.28392969759,10652.53073413929,,9779.97557803248,,
2015-04-24,10343.228314590142,10652.332035915033,,9573.646918170081,,
2015-04-26,,,9590.63160116845,,,
2015-04-27,10300.223329337212,10608.354978037143,,9484.237694160893,,
2015-04-28,10332.968232842022,10641.941430105004,,9453.288188078306,,
2015-04-29,10290.453064035548,10544.82115089511,,9434.374831142532,,
2015-04-30,10187.339062717807,10410.705852700044,,9308.85854038108,9387.153460966663,10000.0
2015-05-01,10297.784133308447,10510.235128776969,,9515.187200243476,,
2015-05-03,,,9559.137427064894,,,
2015-05-04,10327.106612908492,10555.578527826929,,9587.402024092089,,
2015-05-05,10208.83975785273,10438.769615566365,,9234.924069413182,,
2015-05-06,10166.813506746936,10440.99129747403,,9032.034013445265,,
2015-05-07,10207.370308513367,10501.274642735834,,9135.199033720552,,
2015-05-08,10341.765156471196,10551.049682950836,,9190.21945740859,,
2015-05-10,,,9549.57828963783,,,
2015-05-11,10292.407836092503,10548.732506628363,,9167.867496578336,,
2015-05-12,10261.617704644643,10535.1477381257,,9549.57828963783,,
2015-05-13,10263.57697043046,10511.772438973898,,9540.028711348192,,
2015-05-14,10370.598718370558,10631.308818820396,,9638.64050791805,,
2015-05-15,10381.841129248904,10654.744299779784,,9652.72775388689,,
2015-05-17,,,9583.968135158002,,,
2015-05-18,10414.09262132417,10743.577811546438,,9799.237476496375,,
2015-05-19,10410.671096165175,10700.316796101379,,9661.180961298573,,
2015-05-20,10403.340925638051,10691.751501589591,,9511.853144622533,,
2015-05-21,10433.640341893684,10744.32734207881,,9644.27562126318,,
2015-05-22,10408.717222853998,10791.958249750844,,9779.515117182404,,
2015-05-24,,,9708.81981237095,,,
2015-05-26,10296.80629790709,10664.773456374014,,9697.807585859964,,
2015-05-27,10394.544002008884,10779.510037188067,,9759.792757868432,,
2015-05-28,10382.818065904497,10735.41558058257,,9582.290449254713,,
2015-05-29,10318.306993042008,10754.173407481958,,9368.161516079603,9387.153460966663,10000.0
2015-05-31,,,9708.81981237095,,,
2015-06-01,10339.320567967792,10769.403447886521,,9542.84573062677,,
2015-06-02,10329.060486219674,10796.239011899866,,9652.72775388689,,
2015-06-03,10356.424598779673,10806.546282814355,,9889.397140442525,,
2015-06-04,10268.950571409088,10760.489182393487,,10641.668112803925,,
2015-06-05,10251.354027913432,10842.252567166755,,10790.994854691991,,
2015-06-07,,,9740.042742173348,,,
2015-06-08,10188.314201881854,10751.408076543332,,10898.059858673532,,
2015-06-09,10186.84744877981,10784.005875115308,,10934.687558022897,,
2015-06-10,10309.023847949478,10888.125319255329,,11022.029127902495,,
2015-06-11,10342.253175426104,10930.023363267497,,10960.045030682,,
2015-06-12,10263.086255238233,10925.816982227721,,9730.302699431175,,
2015-06-14,,,9734.132875272968,,,
2015-06-15,10219.104333329715,10897.25516158796,,9730.302699431175,,
2015-06-16,10274.813090088397,10924.570023760944,,9524.685937049864,,
2015-06-17,10291.42640570805,10951.178986298759,,9524.685937049864,,
2015-06-18,10398.451748631242,11024.701770006837,,9524.685937049864,,
2015-06-19,10352.291266968217,11038.015295113377,,8755.28242049138,,
2015-06-21,,,9951.00012845619,,,
2015-06-22,10405.330748780165,11129.434455158756,,8755.28242049138,,
2015-06-23,10412.697767883996,11198.910129234771,,8755.28242049138,,
2015-06-24,10337.067412314103,11123.018825258792,,8755.28242049138,,
2015-06-25,10305.638272621418,11086.72346644466,,8622.62675083511,,
2015-06-26,10303.677209344052,11006.91293128267,,8622.62675083511,,
2015-06-28,,,10030.39787325881,,,
2015-06-29,10087.604345507722,10726.083560685129,,9153.250062012312,,
2015-06-30,10108.721276197437,10841.234650637449,,9319.069807220678,9653.515772042685,10000.0
2015-07-01,10189.747701390286,10848.98789296672,,9319.069807220678,,
2015-07-02,10180.417821517545,10823.718798392703,,9319.069807220678,,
2015-07-05,,,10124.895740205246,,,
2015-07-06,10151.444055277547,10750.14970880985,,9319.069807220678,,
2015-07-07,10215.284663793145,10701.563546656698,,9319.069807220678,,
2015-07-08,10043.900136043156,10531.135776901096,,9319.069807220678,,
2015-07-09,10062.070978087955,10604.141804240417,,9319.069807220678,,
2015-07-10,10188.764473514282,10741.578214131376,,9319.069807220678,,
2015-07-12,,,7676.03350422635,,,
2015-07-13,10301.22093714559,10866.879405711014,,9319.069807220678,,
2015-07-14,10345.909273231933,10954.529789468457,,7668.357470722123,,
2015-07-15,10342.470671903246,10900.402396890244,,7585.577607643397,,
2015-07-16,10425.464451593874,10982.451899969408,,7675.883079451438,,
2015-07-17,10434.300920037069,10966.312700944458,,7653.306253263494,,
2015-07-19,,,7894.245065301034,,,
2015-07-20,10439.704179626215,10925.851126706057,,7502.799119272469,,
2015-07-21,10398.451748631242,10888.80650239847,,7352.291527045511,,
2015-07-22,10379.794685123079,10859.923316244092,,7374.866978525656,,
2015-07-23,10321.35553870508,10829.473378115956,,7261.98742994527,,
2015-07-24,10214.301435917145,10721.106920432523,,7043.751192098215,,
2015-07-26,,,7894.245065301034,,,
2015-07-27,10154.88355535201,10622.465929729608,,7058.8024095568435,,
2015-07-28,10279.616886246746,10784.73473013455,,7036.2255833689005,,
2015-07-29,10350.325709961986,10852.037080520384,,7051.27680082753,,
2015-07-30,10352.782880906218,10892.74335044622,,6991.073305700814,,
2015-07-31,10337.067412314102,10897.149169590648,,6915.819509587335,9653.515772042685,8616.602119833817
2015-08-02,,,9107.519353409254,,,
2015-08-03,10302.200570038503,10882.05492232175,,7021.1748241462055,,
2015-08-04,10282.069563462112,10892.68490692212,,6983.5481552074325,,
2015-08-05,10315.956772844802,10995.118452091989,,7246.936212486641,,
2015-08-06,10231.48815134017,10848.22377432521,,7856.491731887853,,
2015-08-07,10211.845163718686,10799.624579534073,,7728.560507612906,,
2015-08-09,,,9913.861510764877,,,
2015-08-10,10340.508709880112,10898.009185347693,,7796.288694997071,,
2015-08-11,10247.20451867806,10813.760485843264,,7879.068099839865,,
2015-08-12,10259.482284687261,10807.584520079447,,9913.861510764877,,
2015-08-13,10246.712005994284,10757.733789501106,,9913.861510764877,,
2015-08-14,10284.033322976797,10782.817649469314,,9903.947649254113,,
2015-08-16,,,8693.85396263253,,,
2015-08-17,10341.486545281474,10866.473039183724,,10014.95475520198,,
2015-08-18,10311.53134865702,10778.021286539162,,10030.566292710393,,
2015-08-19,10230.016005763488,10678.723976718538,,9988.938834777187,,
2015-08-20,10016.399414125615,10367.545301272401,,9680.197994890696,,
2015-08-21,9714.882789620611,10178.853407557093,,9165.055307805858,,
2015-08-23,,,8008.0019083607285,,,
2015-08-24,9305.815055915029,9810.788450980099,,8731.430439741798,,
