ticker,signal,horizon,corr,pval,n,significant
FRSH,adaptive_sentiment,21,-0.5343,0.0,245,True
VOR,roll_21d,2,-0.5033,0.0,237,True
GFS,adaptive_sentiment,3,0.4161,0.0,261,True
ACT,roll_21d,5,-0.4059,0.0,336,True
IMA,roll_21d,2,0.3852,0.0,211,True
DNUT,roll_21d,3,0.3832,0.0,312,True
AMCI,adaptive_sentiment,10,0.3694,0.0,267,True
DCTH,roll_21d,2,0.3667,0.0,302,True
ESTA,adaptive_sentiment,2,-0.3519,0.0,387,True
PHAT,roll_21d,7,0.3167,0.0,200,True
TEM,adaptive_sentiment,3,0.2934,0.0,317,True
IVF,adaptive_sentiment,10,0.2841,0.0,417,True
YYGH,roll_7d,7,-0.2821,0.0,222,True
EXE,roll_5d,21,-0.2672,0.0,309,True
BNTX,roll_7d,7,0.2657,0.0,242,True
BON,adaptive_sentiment,7,-0.2637,0.0001,209,True
GHRS,roll_21d,7,0.2579,0.0,394,True
BRRR,adaptive_sentiment,10,0.2572,0.0,404,True
MLEC,volume_surge,2,0.2571,0.0,4192,True
SFIX,roll_7d,10,-0.2523,0.0001,235,True
TCMD,roll_21d,3,-0.2501,0.0,517,True
AVX,roll_5d,2,-0.2484,0.0,269,True
INDB,roll_5d,7,0.248,0.0,369,True
CTRM,roll_21d,5,-0.247,0.0004,200,True
PENG,roll_3d,10,0.2372,0.0003,227,True
ILMN,roll_7d,1,0.2369,0.0002,244,True
GTM,adaptive_sentiment,2,-0.2366,0.0,304,True
SSTI,adaptive_sentiment,7,-0.2346,0.0008,200,True
SFM,adaptive_sentiment,2,-0.2341,0.0005,221,True
TSEM,adaptive_sentiment,21,0.2341,0.0002,249,True
SENS,roll_21d,10,-0.2322,0.0,330,True
SNDK,roll_5d,21,-0.2307,0.0002,249,True
SNPS,adaptive_sentiment,10,-0.2307,0.0002,261,True
TTWO,roll_3d,3,0.2294,0.0002,256,True
AVO,roll_21d,2,-0.2294,0.0002,255,True
MNDY,roll_21d,10,0.2279,0.0006,224,True
BMBL,roll_7d,21,0.2244,0.0001,289,True
PETS,roll_3d,7,-0.2224,0.0001,291,True
XAIR,adaptive_sentiment,2,-0.2223,0.0,335,True
SHOP,roll_21d,2,0.2211,0.0,4076,True
SAIL,roll_21d,2,0.2205,0.0,1281,True
HON,roll_5d,10,-0.2202,0.0005,243,True
ISPC,adaptive_sentiment,7,-0.2175,0.0019,201,True
WYNN,roll_5d,1,0.2173,0.0013,215,True
NRC,roll_21d,2,0.2168,0.0005,252,True
INTZ,roll_5d,21,0.2167,0.001,227,True
CDNS,roll_7d,1,0.2164,0.0016,209,True
CRUS,roll_21d,2,-0.2155,0.002,203,True
RVSN,roll_7d,10,0.2145,0.0009,238,True
ASO,roll_21d,10,0.2137,0.0,419,True
IONS,roll_7d,3,-0.2135,0.0015,219,True
UCAR,roll_21d,2,0.2132,0.0,819,True
LRCX,roll_5d,7,-0.2123,0.0003,291,True
SEDG,roll_7d,10,-0.2112,0.0006,263,True
TBCH,adaptive_sentiment,2,0.2108,0.0019,214,True
ENPH,roll_5d,21,-0.2098,0.0003,299,True
MRVL,roll_5d,5,-0.2094,0.0015,227,True
HSDT,roll_3d,1,0.209,0.0012,236,True
USCB,adaptive_sentiment,2,-0.2089,0.0024,209,True
XXII,roll_5d,5,0.2074,0.0006,267,True
STRC,volume_surge,3,-0.207,0.0,4191,True
ZG,roll_3d,21,-0.2068,0.0006,270,True
NOW,roll_7d,7,0.205,0.0019,227,True
GRVY,norm_sentiment,1,-0.205,0.0006,276,True
ADBE,sent_momentum,5,0.2049,0.0001,371,True
PCB,roll_3d,3,-0.2031,0.0011,256,True
ASPC,volume_surge,10,0.2023,0.0,4193,True
ARWR,adaptive_sentiment,3,0.2003,0.0023,229,True
RAIL,norm_sentiment,7,0.2002,0.0023,229,True
HUT,roll_5d,2,0.1999,0.0022,232,True
VERX,roll_21d,7,0.1995,0.0,679,True
DFNS,adaptive_sentiment,2,0.1992,0.0004,314,True
PLCE,adaptive_sentiment,7,-0.1988,0.0039,209,True
DXCM,adaptive_sentiment,21,-0.1984,0.0005,302,True
LITE,roll_3d,5,-0.1982,0.0,574,True
SLAB,adaptive_sentiment,3,0.1971,0.0003,336,True
MBIO,volume_surge,3,0.1969,0.0,4191,True
TSCO,adaptive_sentiment,21,0.1964,0.0036,218,True
CRWV,adaptive_sentiment,2,0.1954,0.0013,267,True
JD,roll_5d,21,-0.1923,0.0035,229,True
CAKE,roll_3d,3,0.1898,0.0006,327,True
WLDS,roll_7d,3,0.1894,0.0039,230,True
DOO,adaptive_sentiment,2,-0.189,0.0061,209,True
LTBR,roll_21d,10,-0.1882,0.0062,210,True
NTNX,roll_5d,21,-0.1867,0.0041,235,True
ASTS,roll_3d,21,-0.1864,0.0075,205,True
EH,roll_21d,3,-0.1863,0.0002,390,True
CYPH,roll_21d,5,-0.1851,0.0005,353,True
VSTM,adaptive_sentiment,7,-0.1811,0.0087,209,True
SONO,roll_3d,10,0.1806,0.002,291,True
SHEN,adaptive_sentiment,7,0.1803,0.006,231,True
STNE,roll_21d,1,-0.1795,0.003,271,True
APM,roll_21d,3,0.1788,0.0001,483,True
AFRM,roll_5d,2,0.1778,0.0056,241,True
WPM,adaptive_sentiment,10,-0.1767,0.0105,209,True
SLS,roll_5d,7,0.1766,0.0054,247,True
JAZZ,roll_5d,5,-0.1761,0.0007,369,True
FISI,roll_5d,1,0.1759,0.0086,222,True
SNES,roll_7d,10,-0.1757,0.0012,339,True
RGEN,adaptive_sentiment,7,0.1756,0.007,235,True
BIIB,roll_7d,10,0.1743,0.0059,248,True
STRT,roll_21d,21,-0.1735,0.001,358,True
TPG,adaptive_sentiment,3,-0.1732,0.0088,228,True
NWPX,roll_21d,21,-0.173,0.0121,210,True
GLIBK,volume_surge,3,-0.1723,0.0,4191,True
WB,adaptive_sentiment,7,0.1723,0.0001,497,True
URBN,adaptive_sentiment,1,-0.1721,0.0059,255,True
XBIO,volume_surge,2,0.172,0.0,4192,True
RIVN,roll_5d,1,0.1715,0.0149,201,True
CSCO,sent_momentum,21,-0.1712,0.0076,242,True
GDC,roll_21d,10,0.1711,0.0004,419,True
BMY,adaptive_sentiment,3,-0.1711,0.0133,209,True
MDLZ,adaptive_sentiment,5,-0.1709,0.0036,289,True
AMBA,roll_7d,7,-0.1699,0.0034,296,True
DOCU,roll_5d,21,0.1692,0.0009,379,True
MRK,roll_7d,10,-0.1689,0.0106,228,True
CRSP,roll_5d,10,0.168,0.0057,270,True
LUNG,roll_21d,3,-0.1673,0.0,1469,True
HYMC,volume_surge,1,0.1662,0.0,3027,True
SILO,roll_21d,3,0.1655,0.0016,362,True
PHUN,adaptive_sentiment,10,-0.1651,0.0156,214,True
SBGI,roll_7d,3,-0.1637,0.0044,301,True
MAT,roll_7d,2,0.1637,0.0196,203,True
LGHL,roll_5d,1,0.1635,0.0086,257,True
INTJ,sent_momentum,3,0.1633,0.0003,476,True
DPZ,roll_7d,2,-0.1632,0.0172,213,True
CG,roll_21d,5,-0.163,0.0181,210,True
NWL,roll_21d,7,-0.1629,0.0015,379,True
MAR,roll_3d,1,0.1627,0.0019,363,True
MARA,roll_5d,5,-0.1622,0.0105,248,True
VALN,volume_surge,7,-0.162,0.0,4184,True
YB,volume_surge,7,0.161,0.0,4184,True
DUOL,roll_3d,7,-0.1609,0.0037,324,True
DOX,roll_21d,5,0.1603,0.0007,441,True
AAL,roll_5d,2,0.1595,0.0002,546,True
LINE,roll_7d,7,-0.1584,0.024,203,True
AIIO,roll_7d,21,0.158,0.0177,225,True
LPSN,adaptive_sentiment,7,0.1578,0.0218,211,True
ICHR,roll_21d,21,0.1575,0.0259,200,True
MPAA,roll_21d,21,-0.1575,0.0121,253,True
LLY,roll_7d,5,0.1564,0.012,257,True
RAND,roll_3d,5,0.1563,0.0067,300,True
PTC,adaptive_sentiment,2,-0.1558,0.0131,253,True
RIGL,adaptive_sentiment,7,0.1557,0.0089,281,True
ANIP,adaptive_sentiment,7,0.1557,0.0014,421,True
SCYX,adaptive_sentiment,21,-0.1546,0.0215,221,True
KHC,roll_5d,3,-0.1544,0.007,304,True
CSIQ,roll_5d,3,-0.1543,0.0211,223,True
SPT,roll_21d,5,-0.154,0.0191,231,True
EBAY,sent_momentum,21,0.1536,0.026,210,True
RYAAY,roll_7d,5,-0.1532,0.0201,230,True
ULTA,roll_7d,5,0.1527,0.0071,309,True
PPC,roll_5d,7,-0.1524,0.0258,214,True
PEP,roll_3d,21,0.152,0.0021,408,True
XFOR,norm_sentiment,7,-0.152,0.0202,233,True
CRSR,roll_21d,21,-0.1516,0.0058,330,True
USAR,roll_21d,1,-0.1508,0.0277,213,True
