ticker,signal,horizon,corr,pval,n,significant
AAPL,norm_sentiment,2,-0.0137,0.4412,3152,False
AAPL,norm_sentiment,3,0.019,0.2855,3151,False
AAPL,norm_sentiment,5,-0.0091,0.6098,3143,False
AAPL,norm_sentiment,7,-0.0094,0.5964,3146,False
AAPL,norm_sentiment,10,-0.0067,0.7094,3139,False
AAPL,norm_sentiment,21,-0.0005,0.9759,3130,False
AAPL,adaptive_sentiment,1,-0.0002,0.9895,4123,False
AAPL,adaptive_sentiment,2,0.0035,0.8208,4124,False
AAPL,adaptive_sentiment,3,0.023,0.1395,4123,False
AAPL,adaptive_sentiment,5,0.0024,0.8783,4115,False
AAPL,adaptive_sentiment,7,-0.0112,0.4743,4116,False
AAPL,adaptive_sentiment,10,-0.0059,0.7054,4109,False
AAPL,adaptive_sentiment,21,-0.0242,0.1209,4095,False
AAPL,roll_3d,1,-0.0111,0.491,3877,False
AAPL,roll_3d,2,0.005,0.755,3878,False
AAPL,roll_3d,3,0.0274,0.0877,3877,False
AAPL,roll_3d,5,-0.0077,0.6306,3869,False
AAPL,roll_3d,7,-0.0231,0.1499,3871,False
AAPL,roll_3d,10,-0.0094,0.5591,3865,False
AAPL,roll_3d,21,-0.026,0.1073,3853,False
AAPL,roll_5d,1,-0.0067,0.6646,4185,False
AAPL,roll_5d,2,0.017,0.2702,4186,False
AAPL,roll_5d,3,0.0231,0.1359,4185,False
AAPL,roll_5d,5,-0.0062,0.6897,4177,False
AAPL,roll_5d,7,-0.014,0.3655,4178,False
AAPL,roll_5d,10,-0.0176,0.2556,4172,False
AAPL,roll_5d,21,-0.0321,0.0385,4158,True
AAPL,roll_7d,1,0.0096,0.5319,4203,False
AAPL,roll_7d,2,0.013,0.3993,4204,False
AAPL,roll_7d,3,0.0211,0.1704,4203,False
AAPL,roll_7d,5,-0.0156,0.3124,4195,False
AAPL,roll_7d,7,-0.0045,0.7688,4196,False
AAPL,roll_7d,10,0.0024,0.8746,4189,False
AAPL,roll_7d,21,-0.0191,0.2171,4175,False
AAPL,roll_21d,1,0.0248,0.1079,4203,False
AAPL,roll_21d,2,0.015,0.3321,4204,False
AAPL,roll_21d,3,0.0092,0.5489,4203,False
AAPL,roll_21d,5,-0.0091,0.5566,4195,False
AAPL,roll_21d,7,-0.0084,0.5871,4196,False
AAPL,roll_21d,10,-0.0031,0.8403,4189,False
AAPL,roll_21d,21,-0.0324,0.0361,4175,True
AAPL,sent_momentum,1,-0.012,0.4659,3671,False
AAPL,sent_momentum,2,0.0207,0.2098,3673,False
AAPL,sent_momentum,3,0.032,0.0528,3672,False
AAPL,sent_momentum,5,0.0034,0.8362,3665,False
AAPL,sent_momentum,7,-0.0116,0.4828,3665,False
AAPL,sent_momentum,10,-0.0267,0.1063,3659,False
AAPL,sent_momentum,21,-0.0191,0.2477,3650,False
AAPL,volume_surge,1,0.0248,0.1073,4203,False
AAPL,volume_surge,2,-0.0225,0.1447,4204,False
AAPL,volume_surge,3,-0.0059,0.7021,4203,False
AAPL,volume_surge,5,0.022,0.1535,4195,False
AAPL,volume_surge,7,0.0075,0.6272,4196,False
AAPL,volume_surge,10,0.0169,0.2736,4189,False
AAPL,volume_surge,21,0.0154,0.3184,4175,False
ABBV,adaptive_sentiment,1,-0.0575,0.1987,501,False
ABBV,adaptive_sentiment,2,-0.017,0.7043,501,False
ABBV,adaptive_sentiment,3,-0.0488,0.2753,501,False
ABBV,adaptive_sentiment,5,-0.0072,0.872,501,False
ABBV,adaptive_sentiment,7,-0.0686,0.1252,501,False
ABBV,adaptive_sentiment,10,-0.091,0.0417,501,True
ABBV,adaptive_sentiment,21,0.019,0.6708,501,False
ABBV,roll_3d,1,-0.0568,0.6054,85,False
ABBV,roll_3d,2,-0.0358,0.7453,85,False
ABBV,roll_3d,3,-0.0242,0.8259,85,False
ABBV,roll_3d,5,0.1017,0.3541,85,False
ABBV,roll_3d,7,-0.138,0.2079,85,False
ABBV,roll_3d,10,0.1017,0.3544,85,False
ABBV,roll_3d,21,-0.1311,0.2316,85,False
ABBV,roll_5d,1,-0.0038,0.9644,137,False
ABBV,roll_5d,2,0.0059,0.9451,137,False
ABBV,roll_5d,3,-0.0418,0.6276,137,False
ABBV,roll_5d,5,0.0521,0.5451,137,False
ABBV,roll_5d,7,-0.0773,0.3692,137,False
ABBV,roll_5d,10,0.0199,0.8174,137,False
ABBV,roll_5d,21,-0.0639,0.4583,137,False
ABBV,roll_7d,1,0.0024,0.9742,189,False
ABBV,roll_7d,2,0.0315,0.6667,189,False
ABBV,roll_7d,3,-0.0432,0.5549,189,False
ABBV,roll_7d,5,0.0732,0.3167,189,False
ABBV,roll_7d,7,0.0154,0.8332,189,False
ABBV,roll_7d,10,-0.0132,0.8575,189,False
ABBV,roll_7d,21,-0.0142,0.846,189,False
ABBV,roll_21d,1,-0.0862,0.0427,553,True
ABBV,roll_21d,2,-0.0335,0.4311,553,False
ABBV,roll_21d,3,-0.0582,0.1719,553,False
